"FL_DATE","OP_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","DEP_TIME","DEP_DELAY","WHEELS_OFF","WHEELS_ON","ARR_TIME","ARR_DELAY",
2008-01-01,"NW","N327NW","TVC","Traverse City, MI","MSP","Minneapolis, MN","0750",17.00,"0817","0815","0821",16.00,
2008-01-01,"NW","N321US","DCA","Washington, DC","DTW","Detroit, MI","1327",45.00,"1346","1501","1515",55.00,
2008-01-01,"NW","N321US","DTW","Detroit, MI","DEN","Denver, CO","1608",43.00,"1625","1700","1714",44.00,
2008-01-01,"NW","N355NW","DEN","Denver, CO","DTW","Detroit, MI","1520",-3.00,"1535","1954","2011",2.00,
2008-01-01,"NW","N355NB","DTW","Detroit, MI","BDL","Hartford, CT","2146",7.00,"2231","2341","2352",35.00,
2008-01-01,"NW","N355NW","DTW","Detroit, MI","DEN","Denver, CO","1243",19.00,"1301","1336","1343",14.00,
2008-01-01,"NW","N375NC","PHL","Philadelphia, PA","DTW","Detroit, MI","0959",38.00,"1036","1211","1229",70.00,
2008-01-01,"NW","N314US","DEN","Denver, CO","DTW","Detroit, MI","1704",-4.00,"1719","2149","2206",17.00,
2008-01-01,"NW","N340NW","DCA","Washington, DC","DTW","Detroit, MI","0625",-5.00,"0640","0756","0803",-4.00,
2008-01-01,"NW","N340NW","DTW","Detroit, MI","DEN","Denver, CO","0904",4.00,"0952","1026","1033",28.00,
2008-01-01,"NW","N357NW","DEN","Denver, CO","DTW","Detroit, MI","0759",-1.00,"0820","1243","1302",10.00,
2008-01-01,"NW","N359NW","DTW","Detroit, MI","LGA","New York, NY","1400",13.00,"1418","1538","1549",20.00,
2008-01-01,"NW","N340NW","DEN","Denver, CO","DTW","Detroit, MI","1115",1.00,"1132","1552","1600",-2.00,
2008-01-01,"NW","N340NW","DTW","Detroit, MI","BOS","Boston, MA","1719",13.00,"1735","1857","1904",8.00,
2008-01-01,"NW","N341NB","COS","Colorado Springs, CO","MSP","Minneapolis, MN","1403",-5.00,"1420","1707","1720",12.00,
2008-01-01,"NW","N341NB","MSP","Minneapolis, MN","IAD","Washington, DC","1903",-2.00,"1917","2212","2221",-4.00,
2008-01-01,"NW","N341NB","MSP","Minneapolis, MN","COS","Colorado Springs, CO","1152",-3.00,"1208","1248","1255",-9.00,
2008-01-01,"NW","N940N","ORD","Chicago, IL","DTW","Detroit, MI","0612",12.00,"0637","0921","0926",68.00,
2008-01-01,"NW","N784NC","ORD","Chicago, IL","DTW","Detroit, MI","0931",26.00,"0958","1213","1228",62.00,
2008-01-01,"NW","N368NB","DTW","Detroit, MI","ORD","Chicago, IL","1336",4.00,"1400","1348","1356",7.00,
2008-01-01,"NW","N752NW","DTW","Detroit, MI","BUF","Buffalo, NY","1734",25.00,"1822","1910","1917",59.00,
2008-01-01,"NW","N1334U","ORD","Chicago, IL","DTW","Detroit, MI","1341",1.00,"1413","1607","1616",15.00,
2008-01-01,"NW","N677MC","DTW","Detroit, MI","ORD","Chicago, IL","2158",40.00,"2255","2238","2252",81.00,
2008-01-01,"NW","N8925E","ORD","Chicago, IL","DTW","Detroit, MI","1747",97.00,"1814","2011","2024",114.00,
2008-01-01,"NW","N774NC","DTW","Detroit, MI","CMH","Columbus, OH","2319",91.00,"0030","0107","0115",147.00,
2008-01-01,"NW","N774NC","ORD","Chicago, IL","DTW","Detroit, MI","2003",109.00,"2023","2224","2254",142.00,
2008-01-01,"NW","N774NC","DTW","Detroit, MI","ORD","Chicago, IL","1859",109.00,"1928","1918","1929",119.00,
2008-01-01,"NW","N314NB","MSP","Minneapolis, MN","IAD","Washington, DC","1010",0.00,"1020","1315","1325",-8.00,
2008-01-01,"NW","N319US","IAD","Washington, DC","MSP","Minneapolis, MN","1730",7.00,"1746","1853","1907",-8.00,
2008-01-01,"NW","N311US","IAD","Washington, DC","MSP","Minneapolis, MN","2011",16.00,"2024","2136","2144",4.00,
2008-01-01,"NW","N311US","MSP","Minneapolis, MN","IAD","Washington, DC","1613",18.00,"1627","1925","1933",21.00,
2008-01-01,"NW","N363NW","MSP","Minneapolis, MN","BZN","Bozeman, MT","1146",13.00,"1156","1305","1310",9.00,
2008-01-01,"NW","N363NW","RDU","Raleigh/Durham, NC","MSP","Minneapolis, MN","0919",34.00,"0935","1054","1058",21.00,
2008-01-01,"NW","N330NW","MDW","Chicago, IL","MSP","Minneapolis, MN","1842",32.00,"1905","2005","2013",27.00,
2008-01-01,"NW","N335NW","MSP","Minneapolis, MN","BZN","Bozeman, MT","2143",22.00,"2156","2304","2311",21.00,
2008-01-01,"NW","N303US","BOI","Boise, ID","MSP","Minneapolis, MN","1342",-3.00,"1401","1725","1734",-3.00,
2008-01-01,"NW","N378NW","MSP","Minneapolis, MN","BDL","Hartford, CT","1916",16.00,"1933","2246","2259",26.00,
2008-01-01,"NW","N320US","MSP","Minneapolis, MN","BOI","Boise, ID","2148",8.00,"2211","2349","2355",12.00,
2008-01-01,"NW","N369NW","BOI","Boise, ID","MSP","Minneapolis, MN","0751",6.00,"0802","1122","1128",-10.00,
2008-01-01,"NW","N369NW","MSP","Minneapolis, MN","MDW","Chicago, IL","1254",24.00,"1315","","",,
2008-01-01,"NW","N343NW","LGA","New York, NY","MSP","Minneapolis, MN","1317",-8.00,"1340","1504","1509",-12.00,
2008-01-01,"NW","N367NW","MSP","Minneapolis, MN","BOI","Boise, ID","1726",11.00,"1752","1932","1937",20.00,
2008-01-01,"NW","N303US","MSP","Minneapolis, MN","BOI","Boise, ID","1052",82.00,"1113","1253","1259",87.00,
2008-01-01,"NW","N378NW","OMA","Omaha, NE","MSP","Minneapolis, MN","0710",-5.00,"0727","0814","0823",1.00,
2008-01-01,"NW","N322US","DLH","Duluth, MN","MSP","Minneapolis, MN","0729",0.00,"0755","0825","0832",12.00,
2008-01-01,"NW","N316US","FSD","Sioux Falls, SD","MSP","Minneapolis, MN","0754",74.00,"0816","0857","0902",73.00,
2008-01-01,"NW","N9346","MDW","Chicago, IL","MSP","Minneapolis, MN","1644",19.00,"1719","1822","1827",26.00,
2008-01-01,"NW","N314US","DEN","Denver, CO","MEM","Memphis, TN","0945",-5.00,"0959","1243","1249",-8.00,
2008-01-01,"NW","N371NW","MEM","Memphis, TN","DEN","Denver, CO","0910",25.00,"0926","1052","1101",42.00,
2008-01-01,"NW","N314US","MEM","Memphis, TN","DEN","Denver, CO","1416",-4.00,"1432","1556","1605",11.00,
2008-01-01,"NW","N326US","DTW","Detroit, MI","IND","Indianapolis, IN","2214",29.00,"2309","2354","0015",78.00,
2008-01-01,"NW","N348NW","PVD","Providence, RI","DTW","Detroit, MI","0557",-4.00,"0621","0822","0839",31.00,
2008-01-01,"NW","N355NW","DTW","Detroit, MI","IAD","Washington, DC","2147",5.00,"2237","2335","2344",36.00,
2008-01-01,"NW","N1334U","DTW","Detroit, MI","AZO","Kalamazoo, MI","",,"","","",,
2008-01-01,"NW","N1334U","IAD","Washington, DC","DTW","Detroit, MI","0914",-5.00,"0953","1105","1117",18.00,
2008-01-01,"NW","N345NB","IAD","Washington, DC","DTW","Detroit, MI","0604",-7.00,"0616","0726","0736",-11.00,
2008-01-01,"NW","N8960E","DTW","Detroit, MI","ORF","Norfolk, VA","1049",41.00,"1115","1247","1250",60.00,
2008-01-01,"NW","N610NW","MDW","Chicago, IL","DTW","Detroit, MI","0855",113.00,"0921","1113","1121",123.00,
2008-01-01,"NW","N9336","MDW","Chicago, IL","DTW","Detroit, MI","1330",-2.00,"1359","1543","1548",-2.00,
2008-01-01,"NW","N1334U","DTW","Detroit, MI","MDW","Chicago, IL","1706",-2.00,"1721","1710","1721",-4.00,
